date,tailwater_tdg
2005-08-17 23:00:00,118.2894
2005-08-18 00:00:00,118.5525
2005-08-18 01:00:00,118.421
2005-08-18 02:00:00,118.3968
2005-08-18 03:00:00,117.4769
2005-08-18 21:00:00,117.4142
2005-08-19 21:00:00,117.3683
2005-08-19 22:00:00,117.6315
2005-08-19 23:00:00,117.6083
2005-08-20 21:00:00,117.7397
2005-08-20 22:00:00,117.7165
2005-08-20 23:00:00,117.454
2005-08-22 21:00:00,117.454
2005-08-22 22:00:00,117.3
2005-08-22 23:00:00,117.3
2005-08-23 20:00:00,118.8976
2005-08-23 21:00:00,119.5537
2005-08-23 22:00:00,118.6351
2005-08-23 23:00:00,117.9789
2005-08-24 00:00:00,117.9789
2005-08-24 01:00:00,117.8477
2005-08-24 02:00:00,117.3227
2005-08-24 21:00:00,118.1578
2005-08-24 22:00:00,118.0262
2005-08-24 23:00:00,118.0262
2005-08-25 00:00:00,118.0262
2005-08-27 21:00:00,117.6083
2005-08-27 22:00:00,117.4769
2005-08-27 23:00:00,117.6083
2005-08-30 21:00:00,118.1225
2005-08-30 22:00:00,118.1225
2005-08-30 23:00:00,118.3832
2005-08-31 00:00:00,117.3402
2006-04-06 19:00:00,119.633507
2006-04-06 20:00:00,119.346405
2006-04-06 21:00:00,119.607841
2006-04-06 22:00:00,119.477127
2006-04-06 23:00:00,119.215691
2006-04-07 00:00:00,119.477127
2006-04-07 01:00:00,119.895294
2006-04-07 02:00:00,119.764397
2006-04-07 03:00:00,119.764397
2006-04-07 04:00:00,120.052429
2006-04-07 05:00:00,120.052429
2006-04-07 06:00:00,120.052429
2006-04-07 07:00:00,120.078743
2006-04-07 09:00:00,119.816269
2006-04-07 10:00:00,121.287773
2006-04-07 11:00:00,121.156372
2006-04-07 12:00:00,121.447372
2006-04-07 13:00:00,121.607376
2006-04-07 14:00:00,121.739136
2006-04-07 15:00:00,121.899734
2006-04-07 16:00:00,121.899734
2006-04-07 17:00:00,121.767822
2006-04-07 18:00:00,122.060776
2006-04-07 19:00:00,121.928665
2006-04-07 20:00:00,123.249672
2006-04-07 21:00:00,120.580482
2006-04-07 22:00:00,120.448555
2006-04-07 23:00:00,120.71241
2006-04-08 00:00:00,120.871864
2006-04-08 01:00:00,121.00396
2006-04-08 02:00:00,119.682968
2006-04-08 03:00:00,120.184692
2006-04-09 16:00:00,119.60527
2006-04-09 17:00:00,119.762848
2006-04-09 18:00:00,119.631104
2006-04-09 19:00:00,119.8946
2006-04-09 20:00:00,119.631104
2006-04-10 11:00:00,120.05278
2006-04-10 12:00:00,120.184692
2006-04-10 13:00:00,120.05278
2006-04-10 14:00:00,120.211365
2006-04-10 15:00:00,121.00396
2006-04-10 16:00:00,121.428574
2006-04-10 17:00:00,121.560844
2006-04-10 18:00:00,121.560844
2006-04-10 19:00:00,121.825394
2006-04-10 20:00:00,121.957672
2006-04-10 21:00:00,121.928665
2006-04-10 22:00:00,122.192871
2006-04-10 23:00:00,122.060776
2006-04-11 00:00:00,122.031662
2006-04-11 01:00:00,122.031662
2006-04-11 02:00:00,122.559372
2006-04-11 03:00:00,123.219002
2006-04-11 04:00:00,123.350929
2006-04-11 05:00:00,123.350929
2006-04-11 06:00:00,123.350929
2006-04-11 07:00:00,123.056648
2006-04-11 08:00:00,122.793152
2006-04-11 09:00:00,123.188416
2006-04-11 10:00:00,123.188416
2006-04-11 11:00:00,123.056648
2006-04-11 12:00:00,123.056648
2006-04-11 13:00:00,124.274406
2006-04-11 14:00:00,124.406342
2006-04-11 15:00:00,124.110672
2006-04-11 16:00:00,124.406342
2006-04-11 17:00:00,124.010559
2006-04-11 18:00:00,124.274406
2006-04-11 19:00:00,123.978928
2006-04-11 20:00:00,124.110672
2006-04-11 21:00:00,124.078957
2006-04-11 22:00:00,124.441513
